fuente,external_id,nombre,descripcion,categoria,tipo_plantilla,municipio,territorio,direccion,lat,lng,telefono,email,website,es_lluvia,es_carrito,es_cambiador,es_silla_ruedas,es_mascotas,edad_minima
,https://turismoa.euskadi.eus/es/museos/museo-bibat/webtur00-content/es/,Museo Bibat,"Ubicado en el Casco Antiguo de Vitoria-Gasteiz, consta de dos edificios unidos: el edificio nuevo...",cultura,Auditorios; Museos; Galerías de arte y salas de exposiciones,Vitoria-Gasteiz,araba,"Cuchillería, 54. Junto al Palacio de Bendaña.",42.8493094,-2.671176400000036,945 203 700,bibat@araba.eus,https://fourniermuseoabibat.eus/es/inicio,True,True,False,True,False,4
,https://turismoa.euskadi.eus/es/museos/museo-de-faroles-de-la-cofradia-de-la-virgen-blanca/webtur00-content/es/,Museo de Faroles de la Cofradía de la Virgen Blanca,"Este original museo alberga las 267 piezas de vidrio policromado que, desde hace más de 10...",cultura,Auditorios; Museos; Galerías de arte y salas de exposiciones,Vitoria-Gasteiz,araba,"Zapatería, 33",42.84809749,-2.67413986,945 277 077,info@cofradiavirgenblanca.com,http://www.cofradiavirgenblanca.com/,True,True,False,True,False,2
,https://turismoa.euskadi.eus/es/museos/museo-de-ciencias-naturales-de-alava/webtur00-content/es/,Museo de Ciencias Naturales de Álava,El Museo de Ciencias Naturales de Álava cuenta con una atractiva oferta museogr&aacut...,cultura,Auditorios; Museos; Galerías de arte y salas de exposiciones,Vitoria-Gasteiz,araba,"Fundadora de las Siervas de Jesús, 24",42.8502903,-2.67462519,945 181 924,mcna@araba.eus,,True,False,False,False,False,2
,https://turismoa.euskadi.eus/es/museos/artium-centro-museo-vasco-de-arte-contemporaneo/webtur00-content/es/,Artium museoa,"El/la visitante podrá encontrar en exposición obras de su colección, que con...",cultura,Auditorios; Museos; Galerías de arte y salas de exposiciones,Vitoria-Gasteiz,araba,"Francia, 24",42.84942634,-2.66802071,945 209 020,museo@artium.eus,https://www.artium.eus/es/,True,False,False,False,False,2
,https://turismoa.euskadi.eus/es/museos/museo-de-armeria/webtur00-content/es/,Museo de Armería,El Museo de Armería ofrece al visitante una exposición que se desarrolla cronol&oac...,cultura,Auditorios; Museos; Galerías de arte y salas de exposiciones,Vitoria-Gasteiz,araba,"Paseo de Fray Francisco de Vitoria, 3",42.8413475,-2.678544200000033,945 181 925,museoarmeria@araba.eus,,True,True,False,True,False,2
,https://turismoa.euskadi.eus/es/museos/conjunto-monumental-de-iruna-veleia/webtur00-content/es/,Conjunto Monumental de Iruña-Veleia,El yacimiento arqueológico de Iruña-Veleia abarca más de 1.500 años d...,cultura,Auditorios; Museos; Galerías de arte y salas de exposiciones,Iruña Oka/Iruña de Oca,araba,Trespuentes y Víllodas,,,618 539 353,,https://www.irunadeoca.com/ayuntamiento-iruna-de-oca/yacimiento-arqueologico-de-iruna-veleia/,True,True,False,True,False,2
,https://turismoa.euskadi.eus/es/museos/museo-de-bellas-artes-de-alava/webtur00-content/es/,Museo de Bellas Artes de Álava,El Museo de Bellas Artes de Álava se encuentra ubicado en el Palacio Augustin-Zulueta en e...,cultura,Auditorios; Museos; Galerías de arte y salas de exposiciones,Vitoria-Gasteiz,araba,"Paseo de Fray Francisco, 8",42.83919723793733,-2.68563367052127,945 181 918,museobellasartes@araba.eus,https://arteederrenmuseoa.eus/es/inicio,True,True,False,True,False,2
,https://turismoa.euskadi.eus/es/museos/villa-lucia-centro-tematico-del-vino/webtur00-content/es/,Villa Lucía. Centro Temático del vino,"Situado en una antigua finca de recreo del fabulista Samaniego en Laguardia, su museo del vino, d...",cultura,Auditorios; Museos; Galerías de arte y salas de exposiciones,Laguardia,araba,Ctra. Logroño s/n,42.54833710996413,-2.5782178043932618,945 600 032,reservas@villa-lucia.com,https://villa-lucia.com/,True,False,True,False,False,2
,https://turismoa.euskadi.eus/es/museos/museo-diocesano-de-arte-sacro-vitoria-gasteiz/webtur00-content/es/,Museo Diocesano de Arte Sacro,El Museo Diocesano de Arte Sacro es un lugar para encontrarse con nuestro pasado y sus formas art...,cultura,Auditorios; Museos; Galerías de arte y salas de exposiciones,Vitoria-Gasteiz,araba,"Catedral María Inmaculada. Calle del Monseñor Cadena y Eleta, s/n",42.84539329508149,-2.6771235713322312,945 150 631,info@museosacrovitoria.eus,https://museosacrovitoria.eus/eu/,True,False,True,True,False,4
,https://turismoa.euskadi.eus/es/museos/museo-de-la-policia-vasca/webtur00-content/es/,Museo de la Policía Vasca,Los fondos que componen la exposición permanente recogen una amplia información sob...,cultura,Auditorios; Museos; Galerías de arte y salas de exposiciones,Vitoria-Gasteiz,araba,Academia Vasca de Policía y Emergencias<br/>Ctra. N-104 km. 356. CP 01192,42.871409,-2.583495,945 773 465,museopoliciavasca@seg.euskadi.eus,http://www.museopoliciavasca.eus/es/eus,True,False,True,True,False,4
