fuente,external_id,nombre,descripcion,categoria,tipo_plantilla,municipio,territorio,direccion,lat,lng,telefono,email,website,es_lluvia,es_carrito,es_cambiador,es_silla_ruedas,es_mascotas,edad_minima
,https://turismoa.euskadi.eus/es/top-viajes/los-secretos-de-una-catedral/webtur00-content/es/,Los Secretos de la catedral de Vitoria,"Ésta es tu oportunidad de viajar en el tiempo y sentirte como un personaje de Ken Follett,...",plan,Experiencias Top,Vitoria-Gasteiz,araba,,42.85102071831692,-2.6724746314216645,,,,False,True,False,False,False,8
,https://turismoa.euskadi.eus/es/top-viajes/la-ruta-del-flysch/webtur00-content/es/,La ruta del Flysch en Geoparkea,"Navegaremos desde Zumaia hasta Mutriku, pasando por Deba. En sus acantilados descubriremos los se...",plan,Experiencias Top,Zumaia;Mutriku,gipuzkoa,,,,943 143 396,turismo@geoparkea.com,https://geoparkea.eus/es/visitas-guiadas/la-ruta-del-flysch,False,True,False,True,False,4
,https://turismoa.euskadi.eus/es/top-viajes/vuelo-en-globo-por-el-nacimiento-del-nervion/webtur00-content/es/,Vuelo en globo por el Nacimiento del Nervión,Súbete a un globo y maravíllate con un espectáculo a vista de pájaro:...,plan,Experiencias Top,Ayala/Aiara,araba,,42.9397224,-2.9810574000000543,,,,True,False,False,False,False,6
,https://turismoa.euskadi.eus/es/top-viajes/lekeitio-marinero/webtur00-content/es/,Lekeitio marinero,Lekeitio es unos de los puertos pesqueros más pintorescos y con mayor tradición pes...,plan,Experiencias Top,Lekeitio,bizkaia,,43.36295083242221,-2.5028625905166564,,,,False,True,False,True,True,8
,https://turismoa.euskadi.eus/es/top-viajes/bodega-el-fabulista-tradicion-en-rioja-alavesa/webtur00-content/es/,Bodega El Fabulista. Tradición en Rioja Alavesa,"La bodega, acondicionada para recibir visitas, está soterrada bajo la casa natal del fabul...",plan,Experiencias Top,Laguardia,araba,,42.5535038,-2.584137499999997,945 621 192,info@bodegaelfabulista.com,https://bodegaelfabulista.com/,True,True,True,False,False,6
,https://turismoa.euskadi.eus/es/top-viajes/queso-idiazabal-en-el-caserio-gomiztegi-en-aranzazu/webtur00-content/es/,Ardibidea: El mundo de los pastores vascos de cerca,"Gomiztegi te invita a conocer, a través de visitas y seminarios la vida de los pastores. V...",plan,Experiencias Top,Oñati,gipuzkoa,,43.05375508995826,-2.1785250306129456,,,,False,True,False,False,False,4
,https://turismoa.euskadi.eus/es/top-viajes/euskadi-subterraneo/webtur00-content/es/,Euskadi subterráneo,Te proponemos que descubras los orígenes de Euskadi a través de sus grutas m&aacute...,plan,Experiencias Top,Zestoa;Irun;Oñati;Karrantza Harana/Valle de Carranza;Kortezubi,bizkaia,,,,,,,False,False,False,False,False,6
,https://turismoa.euskadi.eus/es/top-viajes/san-juan-de-gaztelugatxe/webtur00-content/es/,Ruta en barco por San Juan de Gaztelugatxe,"Si desde tierra firme es posible contemplar su belleza sin igual, espera a verlo desde el mar. Te...",plan,Experiencias Top,Bermeo,bizkaia,,43.420393211652936,-2.7187809348106384,,,,True,False,False,True,False,6
,https://turismoa.euskadi.eus/es/top-viajes/pastor-por-un-dia/webtur00-content/es/,Pastor por un día en Urkiola,"El pastor Patxi Solana nos invita a compatir su día a día en Alluitz Natura, un cas...",plan,Experiencias Top,Abadiño,bizkaia,,43.12449502389357,-2.622063159942627,,,,True,False,False,False,True,6
,https://turismoa.euskadi.eus/es/top-viajes/una-pizca-de-sal-en-el-valle-salado/webtur00-content/es/,Una pizca de sal en el Valle Salado,"Tu introducción en el mundo de la sal comienza con una visita guiada al Valle Salado, cand...",plan,Experiencias Top,Añana,araba,,42.8005611468204,-2.9835724952454257,,,,True,True,False,True,False,4
